domain,has_booking,booking_platform,reasoning,source,provider_name,country_name,continent
seakayakingchania.gr,t,,"The website has multiple 'Book Now' buttons and a booking form for tours, indicating an online booking system.",llm_markdown_v1,Sea Kayaking Chania,Greece,EU
ardnamurchandistillery.com,t,,"The 'Book a tour' link suggests booking capability, but no known platform or checkout flow was found.",llm_html,Ardnamurchan Distillery Ltd,United Kingdom,EU
londonphototours.co.uk,f,,The scraped content does not indicate an online booking system or any booking platform integration.,llm_markdown_v1,11252821,United Kingdom,EU
terreo-canyoning.com,t,,"The site has a 'réserver' button linking to a reservation page, indicating booking capability without a known platform.",llm_html,Terreo,France,EU
rutasmisteriosas.es,t,,The website allows online booking with a 'Reserva ahora' button and provides a calendar for selecting dates.,llm_markdown_v1,Misterios De EspañA,Spain,EU
georgeturism.ro,t,,"The site has a 'Book now' button linking to tours, indicating online booking capability, but no known platform was found.",llm_html,George Turism,Romania,EU
moviescape.co.uk,t,,"The site has a 'BOOK NOW' button that links to a ticket purchasing page, indicating online booking capability.",llm_html,Moviescape Ltd,United Kingdom,EU
kekovatravel.com,t,,"The site has clear booking options with 'Book now' buttons and pricing, but no known booking platform integration.",llm_html,Vitamin Sea Boat,Turkey,AS
pragueonkayak.com,t,,"The site has a 'Book a Tour' button linking to a reservation page, indicating online booking capability.",llm_html,Prague On Kayak,Czech Republic,EU
tromsooutdoor.no,t,,"The website has a shopping cart and checkout flow, indicating online booking capability.",llm_html,Tromsø Outdoor,Norway,EU
discoversouth.it,t,,"The site has multiple 'Book' buttons for tours, indicating online booking capability, but no known platform integration.",llm_html,Discover South Di Luca Coppola,Italy,EU
dailytoursmilos.gr,t,,"The site has multiple 'Book Now' buttons and clear pricing, indicating online booking capability without a known platform.",llm_html,Cts Milos,Greece,EU
tootbus.com,t,,"The site has a date picker, participant selector, and 'Book tickets' buttons indicating online booking capability.",llm_html,Rdgs (Ratp Dev Global Sightseeing),France,EU
thebattleofbritaintours.co.uk,f,,The website is not connected to a domain and shows an error page with no booking options.,llm_html,Battle Of Britain Tours,United Kingdom,EU
uklondonchauffeur.co.uk,t,,"The site has a 'Book a Car Now' button, indicating a booking UI, but no known booking platform was found.",llm_html,Londons Chauffeur,United Kingdom,EU
mysorrentoholiday.com,t,,"The website offers direct booking options with prices displayed and mentions 'Prenotazione solo con deposito', indicating an online booking system.",llm_markdown_v1,My Sorrento Holiday,Italy,EU
helionautica.com,t,,"The site has a booking form with a date picker and a 'Book Now' button, indicating online booking capability.",llm_html,Helionautika,Greece,EU
atalaiagold.com,t,,"The site has clear booking UI with buttons like 'Check availability' and 'Explore Our Tours', indicating online booking capability.",llm_html,Atalaia Gold,Portugal,EU
cretansailing.com,t,,"The website has a 'Book now' button linking to an online booking system, indicating direct booking capability.",llm_html,Marazakis A. Panagiotis,Greece,EU
mavinbikerent.it,t,,"The site has a registration and login system, along with a shopping cart and checkout flow, indicating online booking capability.",llm_html,Mavin Bike Rent,Italy,EU
ilovemaranello.com,t,,"The site has multiple 'Prenota' buttons for experiences, indicating a booking system, but no known platform integration.",llm_html,Ma-Ra-Nel-Viaggi Di Zanichelli Pierluigi,Italy,EU
xtremegreece.gr,t,,"The site has a search form with activity selection and a calendar for events, indicating booking capability.",llm_html,Greek Terrain 4x4,Greece,EU
gasirayachting.com,f,,The website does not have an online booking system; it only provides contact information for reservations.,llm_markdown_v1,Gasira Yachting,Italy,EU
lofoten-explorer.no,t,TrekkSoft,"The site has a booking button linked to TrekkSoft, indicating online booking capability.",llm_html,Lofoten Explorer,Norway,EU
bittigitealleisole.it,t,,"The site has clear booking UI with 'Info' buttons leading to detailed excursion pages, indicating booking capability.",llm_html,Mistral Estasi’S,Italy,EU
cominoferries.com,t,,The website has clear booking UI with links to online booking and ticket purchase options.,llm_html,Comino Ferries,Malta,EU
tangieradvantours.com,f,,The website does not feature any online booking system or direct payment options.,llm_markdown_v1,Bounekoub Omar,Morocco,AF
theeuroroadtrip.eu,t,,"The site has a booking form with a date picker, pickup/drop-off locations, and a submit button for searching trips.",llm_html,Theeuroroadtrip.Eu,Germany,EU
aquafunmogan.es,t,,"The site has multiple 'Reserve Now' buttons and a clear booking flow, but no known booking platform was identified.",llm_html,Aquafunmogan,Spain,EU
kontraolasurftenerife.com,t,FareHarbor,The website has multiple 'Reservar' buttons linking to FareHarbor for online booking.,llm_html,Kontraola Surf,Spain,EU
quadtourmallorca.es,t,,"The site has a 'Reservar' button linking to a booking page, indicating online booking capability.",llm_html,Quad Tour Mallorca,Spain,EU
rentandrollmadrid.com,t,Bokun,"The website features a booking engine with options to select dates, participants, and prices, indicating an online booking system.",llm_markdown_v1,Rent&Roll,Spain,EU
rentboatcagliari.com,t,Bookeo,The website contains an iframe linking to a Bookeo booking interface for reservations.,llm_html,Blue Rent Cagliari,Italy,EU
strzelnica-magnum.pl,t,,"The site has a 'REZERWUJ WIZYTĘ' button linking to a booking page, indicating online booking capability.",llm_html,Shooting Range Magnum,Poland,EU
turunsaunalautta.fi,t,,"The site has multiple 'Varaa nyt' buttons linking to booking pages, indicating an online booking system.",llm_html,Turun Saunalautta,Finland,EU
cesarine.com,t,,"The site has clear booking UI with 'View all' buttons for experiences, indicating online booking capability.",llm_html,Cesarine,Italy,EU
executivecarsstevenage.co.uk,t,,"The site has clear booking buttons for holiday and business travel, indicating an online booking system.",llm_html,Executive Cars Stevenage Limited,United Kingdom,EU
azoresprivatetours.com,f,,The website does not feature any online booking system or direct payment options; it only provides links for more information.,llm_markdown_v1,Azores In Private,Portugal,EU
sail4sailing.com,t,,"The site has a 'BOOK NOW' button that links to experiences, indicating online booking capability.",llm_html,Sail4fun Actividades Nauticas,Portugal,EU
symidaycruises.gr,t,,"The site has multiple 'Book now' buttons and clear pricing, indicating online booking capability without a known platform.",llm_html,King Of Rhodos,Greece,EU
holabulgaria.com,t,,"The site has a search form with options for destination, activity, duration, and a submit button indicating booking capability.",llm_html,Porovat,Bulgaria,EU
householdcavalrymuseum.co.uk,t,,"The site has multiple 'Book tickets' buttons and clear booking UI, but no known booking platform integration.",llm_html,Household Cavalry Museum,United Kingdom,EU
chat-tours.com,t,,"The site has multiple 'More Details' links leading to tour pages with pricing and booking options, indicating online booking capability.",llm_html,Chat Tours,Greece,EU
speedboatzadar.com,t,FareHarbor,"The website uses FareHarbor's iframe for booking, indicating online booking capability.",llm_html,Speed Boat Zadar,Croatia,EU
lesbateauxbordelais.com,t,,"The site has a date picker and booking options with 'Reserve now' buttons, indicating online booking capability.",llm_html,Les Bateaux Bordelais,France,EU
riesundreling.de,f,,No clear booking UI or known platform found; only generic content and no booking options.,llm_html,Ries&Reling,Germany,EU
supprague.com,t,,"The site has a 'Book Now' button linking to a reservation page, indicating online booking capability.",llm_html,Jiri Sloup,Czech Republic,EU
wetweim.com,f,,No clear booking UI or known booking platform found; only contact options available.,llm_html,Janis ŽEkanis,Lithuania,EU
iosbreeze.com,t,,"The 'BOOK NOW' button links to a tours page, indicating booking capability, but no known platform is identified.",llm_html,Ios Breeze,Greece,EU
corfucruises.com,t,FareHarbor,"The website uses an iframe from FareHarbor, indicating an online booking system is available.",llm_html,Corfu Cruises,Greece,EU
geoparkgranada.com,f,,The website does not have an online booking system; it only provides contact information for reservations.,llm_markdown_v1,Piotr Janczarek,Spain,EU
cuevadelpuerto.es,f,,The scraped content does not indicate any online booking system or relevant booking platform integration.,llm_markdown_v1,Cueva Del Puerto,Spain,EU
paddleparadise.gr,t,,"The site has 'Book now' buttons and mentions online payment, indicating a booking system, but no known platform was identified.",llm_html,Doukellis Antonios - Hoekstra Quen,Greece,EU
cymasails.com,t,,"The site has multiple 'BOOK NOW' buttons with pricing, indicating a booking system, but no known platform was identified.",llm_html,Cyma Sails,Greece,EU
dolcevitaclassics.it,t,,"The site has a booking form with a date picker and a 'Search' button, indicating online booking capability.",llm_html,Dolcevita Classics,Italy,EU
shrewsburyprison.com,t,,"Multiple 'Book Now' buttons are present, indicating booking capability, but no known platform is identified.",llm_html,Shrewsbury Prison,United Kingdom,EU
flounder-sailing.com,t,FareHarbor,"The website includes an iframe from FareHarbor, indicating online booking capability.",llm_html,Flounder Yacht Sailing,Spain,EU
thebavarianguide.com,t,,"The site has clear booking UI with links to tours and descriptions, but no known booking platform was found.",llm_html,Michael Sepp Sohr,Germany,EU
positano-charter.com,t,,"The site has multiple 'Request to Book' buttons with links to booking pages, indicating an online booking system.",llm_html,Positano Dama Charter,Italy,EU
theghostbustours.com,t,,"The site has 'Book now' buttons and links to booking popups, indicating a booking system, but no known platform was identified.",llm_html,The Ghost Bus Tours Ltd,United Kingdom,EU
giorgiomussini.com,f,,The website does not have an online booking system; it only provides contact forms for inquiries.,llm_markdown_v1,Mussini Giorgio,Italy,EU
libroadventures.com,t,,"The site has clear booking UI with options to select dates and book tours, but no known booking platform was identified.",llm_html,Libro Adventures,Croatia,EU
ecole-du-surf-francais.fr,t,,"The site mentions online booking for surf courses, indicating a booking system, but no specific platform is identified.",llm_html,Ecole Du Surf FrançAis,France,EU
darkhistorytoursblog.wordpress.com,f,,The scraped content does not indicate any online booking system or relevant booking platform.,llm_markdown_v1,David Joseph Simon,Germany,EU
welcometoibiza.com,f,,The website does not provide an online booking system; it only offers WhatsApp links for inquiries.,llm_markdown_v1,Capitan Nemo Ibiza,Spain,EU
seakayaknaxos.com,t,,"The site has clear booking UI with tour listings, prices, and links to book tours directly, but no known booking platform was identified.",llm_html,Active Land,Greece,EU
magicways.fr,t,,"The site has clear booking UI with 'Book now' buttons and price displays, but no known booking platform was found.",llm_html,Magic Ways,France,EU
waterglisse.com,t,,"The site allows online booking through a form, indicating an online booking system, but no specific platform is mentioned.",llm_markdown_v1,Mediterranean Nautic Loisirs,France,EU
victortours.com,f,,The website only offers a 'Get a Quote' option and does not have direct booking or payment functionalities.,llm_markdown_v1,Victor Tours,Serbia,EU
exclusiveetnaexcursions.com,t,FareHarbor,"The website uses an iframe from FareHarbor, indicating an online booking system is available.",llm_html,Exclusive Etna Excursions,United States,EU
trackersexcursions.com,t,,"The website states that tours can be booked online directly, indicating an online booking capability.",llm_html,Trackers Excursions,Cyprus,EU
comedycarnival.co.uk,t,,"The site has multiple 'Book Tickets' buttons and a clear checkout flow, indicating online booking capability.",llm_html,Leviathan Entertainment,United Kingdom,EU
sportmix.si,t,,"The website has a 'Jetzt buchen' (Book Now) button leading to a booking form, indicating an online booking system.",llm_markdown_v1,Sport Mix Bovec,Slovenia,EU
grdance.org,f,,The website does not mention any online booking system or provide booking buttons; it primarily offers information.,llm_markdown_v1,Dourdoumpaki Sultana,Greece,EU
fantasticwalks.co.uk,t,FareHarbor,"The website uses an iframe from fareharbor.com, indicating an online booking system is available.",llm_html,Fantastic Walks,United Kingdom,EU
rhodesdaycruise.gr,t,,"The site has multiple 'Book Your Cruise' links and detailed cruise options, indicating an online booking system.",llm_markdown_v1,Rhodes Daily Cruises Odysseia Boat,Greece,EU
surflifetenerife.com,t,,"The site has a 'Book your surf lesson with us' button, indicating a booking capability, but no known platform was identified.",llm_html,Surf Life Pura Vida,Spain,EU
tuscanytravellers.it,t,,"The site has multiple 'Book now' buttons for tours, indicating online booking capability, but no known booking platform was found.",llm_html,Tuscan Travellers,Italy,EU
salinasdejanubio.com,t,,"The website mentions a calendar for reservations, indicating an online booking system.",llm_markdown_v1,Salinas De Janubio,Spain,EU
venticharter.com,t,,"The site has 'BOOK NOW' buttons and clear booking UI, but no known booking platform integration.",llm_html,Venti Boat Charter,Italy,EU
flisvospirates.com,f,,The website does not provide an online booking system; it only encourages users to book tickets without a direct booking interface.,llm_markdown_v1,Flisvos Cruises,Cyprus,EU
chucklebustours.co.uk,t,TicketingHub,"The site has an embedded iframe for TicketingHub, allowing users to book and pay for tickets directly.",llm_html,Ntr Enterprise Limited,United Kingdom,EU
stromma.com,t,,"The website offers 'Check availability' buttons and displays prices, indicating an online booking system.",llm_markdown_v1,Stromma Netherlands,Sweden,EU
intercrac.com.pl,f,,The content does not indicate an online booking system; it focuses on services and contact information.,llm_markdown_v1,Intercrac,Poland,EU
royalocean.es,t,,"The site has clear booking UI with links to specific tours, but no known booking platform was found.",llm_html,Royal Ocean,Spain,EU
charterdolcevita.com,t,,"The website has a 'Book a tour with us' link and a detailed booking form, indicating an online booking system.",llm_markdown_v1,Dolcevita,Italy,EU
axoranamou.gr,f,,The content does not mention any online booking system or provide booking functionalities.,llm_markdown_v1,Α ΧΩΡΑ ΝΑΜΟΥ,Greece,EU
agexpeditions.pt,t,,"The site has multiple 'Book now' buttons and clear booking UI, but no known booking platform detected.",llm_html,Ideastation,Portugal,EU
adventoure.com,t,,"The site has clear booking UI with options to book activities and prices displayed, but no known booking platform was identified.",llm_html,8 Nudos Outdoor,Spain,EU
bestofzante.com,t,FareHarbor,"The website uses an iframe from FareHarbor, indicating an online booking system is available.",llm_html,Geladas Angelos Tou Petrou,Greece,EU
queguapo.eu,t,tourqueguapo.com,"The site offers a 'Ver disponibilidad' button for booking quad tours, indicating an online booking system.",llm_markdown_v1,Que Guapo Tpur,Spain,EU
northernspaingastronomy.com,t,FareHarbor,"The website uses an iframe from fareharbor.com, indicating an online booking system.",llm_html,Northern Spain Gastronomy,Spain,EU
stavroswatersports.com,f,,The website does not provide an online booking system; it lacks direct booking buttons or payment options.,llm_markdown_v1,Stavros Natsikos,Cyprus,EU
maliayachting.gr,f,,The site uses a contact form for inquiries and does not provide direct online booking or payment options.,llm_markdown_v1,Mallia Port,Greece,EU
davenford.com,t,,The site has a 'STAY WITH US' button linking to a booking page with date selection and guest options.,llm_html,Davenford,United Kingdom,EU
prague.eu,t,WooCommerce,The website has an e-shop where users can add experiences to a cart and proceed to checkout.,llm_markdown_v1,Prague City Tourism,Czech Republic,EU
thesoulspa.co.uk,f,,The website does not feature an online booking system; it primarily provides contact information for reservations.,llm_markdown_v1,The Curious Soul,United Kingdom,EU
gite-barca-cinqueterre.com,f,,"The website only offers contact forms and phone numbers for inquiries, with no online booking system present.",llm_markdown_v1,L'Acciughina,Italy,EU
oxigentour.ro,t,,"The site has clear booking UI with 'Rezerva acum' buttons and pricing, but no known booking platform integration.",llm_html,Oxigen Travel Nature,Romania,EU
evtt-provence.com,t,FareHarbor,"The website uses an iframe from fareharbor.com, indicating an online booking system is available.",llm_html,Evtt Provence,France,EU
bura-adventure.com,t,,"The site has multiple 'More Info' buttons and service details, indicating booking options, but no known platform integration.",llm_html,Bura Adventure,Croatia,EU
13nails.net,f,,The content does not mention any online booking system or relevant booking platforms.,llm_markdown_v1,,,
explorana.no,t,,"The site has clear booking UI with a 'Les og book HER' link for guided tours, indicating online booking capability.",llm_html,Explorana,Norway,EU
surfschoolcactus.com,t,,"The site has a 'Book now!' button leading to a booking page, indicating online booking capability.",llm_html,Surf School Cactus,Spain,EU
myparisriver.com,f,,The website does not provide an online booking system; it only offers links for more information and contact options.,llm_markdown_v1,Paris River Cruise,France,EU
cadburyworld.co.uk,t,,"The site has multiple 'Book Now' buttons and clear pricing, indicating an online booking system without a known platform.",llm_html,Cadbury World Merlin,United Kingdom,EU
aclimatando.com,t,Regiondo,"The website uses Regiondo for booking, with clear options to book experiences and pay directly.",llm_html,Aclimatando Experiencias De MontañA,Spain,EU
donaldshighlandtours.com,f,,The website does not have an online booking system; it only provides contact information for inquiries.,llm_markdown_v1,Donald’S Highland Tours,United Kingdom,EU
123taxihrg.com,t,Bokun,"The site uses Bokun for online bookings, indicated by the presence of Bokun buttons and related content.",llm_html,,Egypt,EU
navegasintitulo.com,t,FareHarbor,"The website uses FareHarbor's iframe for booking, indicating online booking capability.",llm_html,Navega Sin Titulo Sitges Rent Boat,Netherlands,EU
sealifepalermo.it,f,,The website does not mention any online booking system or platforms; it primarily provides information and contact options.,llm_markdown_v1,Sealifepalermo,Italy,EU
alegranzaexperience.com,t,,"The site has a 'BOOK NOW' button linked to an external booking page, indicating online booking capability.",llm_html,Alegranza Experience,Spain,EU
mercattours.com,t,,"The site has multiple 'book now' buttons and a checkout link, indicating online booking capability.",llm_html,Mercat Tours,United Kingdom,EU
olympictransferkefalonia.com,f,,The website does not provide an online booking system; it only offers contact via phone or email for reservations.,llm_markdown_v1,Olympic Transfer Kefalonian Tours,Greece,EU
northwestirelandtours.com,t,,"The website has 'BOOK or ENQUIRE' links for various tours, indicating an online booking system.",llm_markdown_v1,Northwest Sherpa Tours,Ireland,EU
setimaondaboattrips.com,t,FareHarbor,"The website contains an iframe from FareHarbor, indicating an online booking system is available.",llm_html,SéTima Onda Boat Trips,Netherlands,EU
